"","p_cncr5110","p_cncr9580","p_cncr4211","p_cntrl2241","p_cncr6852","p_cncr5544","p_cntrl9937","p_cntrl1122","p_cncr4638","p_cncr2102","p_cncr8112","p_cncr8965","p_cncr1395","p_cncr9847","p_cncr8363","p_cntrl8280","p_cntrl1827","p_cntrl1351","p_cncr6369","p_cncr5171","p_cncr1414","p_cncr2842","p_cncr5302","p_cncr6214","p_cncr4923","p_cntrl9973","p_cntrl4742","p_cntrl6491","p_cntrl7387","p_cncr7481"
"11001010110010011111",25051,3744,106996,2404,4481376,7462,5559,966838,563781,84084,340223,2304496,11520,378691,355112,340189,64407,4629,43658,443965,69264,493,697783,194397,12963,141785,90227,17114,128707,1759
"00110011000111010110",2759,3351775,1721,269212,27450,10412,55573,2466628,15682,2168,1286,12340,5058,574,5719,67219,3345214,207779,6447,183,4352,1916,15,95290,17111,8330656,329761,1635088,926,21588
"00110101111100000101",366,43126,5503,15972,7561,198410,2696,1646503,25109,25023,1251413,14605,171636,856,60325,35687,208644,6278,694358,501820,240351,14246681,4910,883563,402145,130234,123565,120571,59383,8406
"00010001010110010101",83066,502,4209,2719,1606,125730,19689,40740,146964,29643,1009925,3872,488,2170,45727,33425,3442,50006,3029,1295220,1293613,15990228,10277,537179,2080208,64,204316,4217,36094,3499993
"10011001011011100101",72614,39131,47,2454137,30944,3658,564190,1355178,168096,1055671,8,2522,382168,7862,208593,37576,412552,1228264,5398,4192,5880,15534,12,4800,3478,2369764,29365,173895,54141,3837
"11100001011100000000",56192,10701966,34576724,57799,6044,159004,2698,8886,5090,24345,1050,205007,5188359,1026918,1689285,118660,1519,249074,503169,65791,1876433,3038,20088,85017,10943,88416,26871,143100,2963556,4383
"00110001110011000111",127498,12833,33415,1720,19,17981,79220,40467,4963,127749,5908,11509,1353,4052,212,21107,250344,1402,5356,2813,462021,4231,643,63154,41684,14680,85393,1901,66,200
"11011111111010101111",26254,31833,58102,234323,373964,124874,35424,66826,1234867,1523,1029620,142662,779956,912748,324669,228421,1883094,3306,244023,4023,3542568,9893,2686499,501,76797,115759,77,309559,80742,12679
"11010010100000000101",180669,34949,1952136,12883,125720,1707519,6063,1051,3106858,303015,41704,194605,1113,207750,951,6691,4531,162475,8604,837,3160767,1098,6569,24753,1716971,69095,194646,17392,1632,604482
"10001111001000011010",637242,1044,810299,7218,490,37558,4210,32461,76575,716506,3030,70422,406809,32005,179152,4853,51448,846277,539077,69333,2676059,6600,16776,564,12298,33616,80381,7,1551,3560701
"10101101101000000101",7270,585394,217870,467153,273847,645125,151,15594,29329,286890,230007,32099,109900,6854,394100,105321,21407193,296184,177465,87322,38593,41492,1860,480877,1077393,28288,897172,418152,29054,85108
"01000111110110010010",32293,2100788,28250,89561,96512,2922022,1083,6359690,809999,4749,26778,5754926,3400683,50628,1558566,82,13765,4609487,36306,346665,21505,35159,275215,34327,2713991,40716,30152,140877,18797,41797
"01110101110000001001",50749,16605,5071,25854,39038,6197,4572,19816,232943,5678,3065,668892,329781,12397018,79526,501699,7907,4486,1951,157039,238412,2521040,2651,268453,6832,15532,4324,424258,639987,19041
"01011111011001001000",63034,47386,55294,91419,770,2637,862175,3835374,124453,11877,1665,195,2062,8543,6377,2126190,828186,235903,1918999,127397,13148,259,327,498242,30072,455614,416799,2399213,166800,7140
"10101111001010001100",62428,428849,49113,5176,44205,294696,36073,132561,218614,2241256,46595,200282,4431626,125141,1192752,3395,3513,9997,400780,6229496,168860,55106,1342087,4140,413,328084,36220,190541,34964,8890454
"00110011101100101111",479,1461,49869,2295478,4706,101,45606,7016664,8655,98724,441707,6024,252843,151,984468,221,653506,605404,9993,1362860,33089,7314,405600,10153,48380,51628,2427,57,103452,157591
"01011010000001001110",588614,158790,39550,4511,1483,150141,68396,184337,21747,2287,956,284226,43431,65279,43895,117263,4580385,10400,258,184,21481,68778,3,1077,7753,82942,419500,4062631,126369,175
"10010110001100000101",75652652,18262,1953,42157,135618,530782,356974,2592054,1845,31435,192199,2376,151115,861989,145339,107707,757895,4858609,627135,3761,16070,54935,905919,69803,1895,36877,985760,58170,1249,193
